time/input_data/output_state/rest/grip/hold/release
4,995899200439453/1,1756776571273804/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,166312575340271/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1648718118667603/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1526252031326294/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,2109768390655518/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1756776571273804/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,117326021194458/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1317338943481445/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1511844396591187/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1454212665557861/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1389377117156982/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1735165119171143/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1447008848190308/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,10003662109375/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1223688125610352/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1194871664047241/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,106520175933838/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1115628480911255/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,117326021194458/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1187667846679688/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1619902849197388/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,1792796850204468/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
4,995899200439453/1,094273567199707/0/0,8115610480308533/0,002417540643364191/0,12647999823093414/0,059541430324316025
