time/input_data/output_state/a/b/c/d
4,8481855392456055/1,1655921936035156/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,2080953121185303/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,20665442943573/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1893651485443115/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,2023321390151978/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,2044932842254639/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,198730230331421/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1936874389648438/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,215299129486084/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1893651485443115/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1648718118667603/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1800000667572021/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1555067300796509/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1382173299789429/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1641514301300049/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1483027935028076/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,134615421295166/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,1511844396591187/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
4,8481855392456055/1,168473720550537/1/0,2702985405921936/0,5672276020050049/0,15153264999389648/0,01094124373048544
