#Digilent WaveForms Data Logger
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B1931D
#Date Time: 2025-04-29 14:55:47.401

Time (s),C2 (V)
20,1.65823719284838
19.9998,1.654558881124963
19.9996,1.654558881124963
19.9994,1.654558881124963
19.9992,1.654558881124963
19.999,1.650880569401546
19.9988,1.650880569401546
19.9986,1.650880569401546
19.9984,1.650880569401546
19.9982,1.647202257678129
19.998,1.647202257678129
19.9978,1.647202257678129
19.9976,1.647202257678129
19.9974,1.647202257678129
19.9972,1.647202257678129
19.997,1.643523945954712
19.9968,1.643523945954712
19.9966,1.643523945954712
19.9964,1.643523945954712
19.9962,1.643523945954712
19.996,1.643523945954712
19.9958,1.639845634231295
19.9956,1.639845634231295
19.9954,1.639845634231295
19.9952,1.639845634231295
19.995,1.639845634231295
19.9948,1.636167322507877
19.9946,1.636167322507877
19.9944,1.636167322507877
19.9942,1.636167322507877
19.994,1.63248901078446
19.9938,1.63248901078446
19.9936,1.63248901078446
19.9934,1.63248901078446
19.9932,1.628810699061043
19.993,1.628810699061043
19.9928,1.628810699061043
19.9926,1.628810699061043
19.9924,1.628810699061043
19.9922,1.628810699061043
19.992,1.628810699061043
19.9918,1.628810699061043
19.9916,1.63248901078446
19.9914,1.63248901078446
19.9912,1.63248901078446
19.991,1.636167322507877
19.9908,1.636167322507877
19.9906,1.636167322507877
19.9904,1.636167322507877
19.9902,1.639845634231295
19.99,1.639845634231295
19.9898,1.639845634231295
19.9896,1.639845634231295
19.9894,1.643523945954712
19.9892,1.643523945954712
19.989,1.643523945954712
19.9888,1.643523945954712
19.9886,1.643523945954712
19.9884,1.643523945954712
19.9882,1.643523945954712
19.988,1.647202257678129
19.9878,1.643523945954712
19.9876,1.647202257678129
19.9874,1.647202257678129
19.9872,1.643523945954712
19.987,1.647202257678129
19.9868,1.647202257678129
19.9866,1.647202257678129
19.9864,1.647202257678129
19.9862,1.647202257678129
19.986,1.647202257678129
19.9858,1.647202257678129
19.9856,1.647202257678129
19.9854,1.647202257678129
19.9852,1.650880569401546
19.985,1.647202257678129
19.9848,1.647202257678129
19.9846,1.650880569401546
19.9844,1.650880569401546
19.9842,1.650880569401546
19.984,1.650880569401546
19.9838,1.654558881124963
19.9836,1.654558881124963
19.9834,1.654558881124963
19.9832,1.654558881124963
19.983,1.654558881124963
19.9828,1.654558881124963
19.9826,1.654558881124963
19.9824,1.654558881124963
19.9822,1.654558881124963
19.982,1.654558881124963
19.9818,1.654558881124963
19.9816,1.654558881124963
19.9814,1.650880569401546
19.9812,1.650880569401546
19.981,1.650880569401546
19.9808,1.650880569401546
19.9806,1.650880569401546
19.9804,1.650880569401546
19.9802,1.650880569401546
19.98,1.647202257678129
19.9798,1.647202257678129
19.9796,1.647202257678129
19.9794,1.647202257678129
19.9792,1.643523945954712
19.979,1.643523945954712
19.9788,1.643523945954712
19.9786,1.643523945954712
19.9784,1.643523945954712
19.9782,1.639845634231295
19.978,1.639845634231295
19.9778,1.639845634231295
19.9776,1.639845634231295
19.9774,1.639845634231295
19.9772,1.639845634231295
19.977,1.639845634231295
19.9768,1.636167322507877
19.9766,1.636167322507877
19.9764,1.639845634231295
19.9762,1.636167322507877
19.976,1.636167322507877
19.9758,1.636167322507877
19.9756,1.636167322507877
19.9754,1.636167322507877
19.9752,1.636167322507877
19.975,1.636167322507877
19.9748,1.636167322507877
19.9746,1.639845634231295
19.9744,1.639845634231295
19.9742,1.639845634231295
19.974,1.639845634231295
19.9738,1.639845634231295
19.9736,1.643523945954712
19.9734,1.643523945954712
19.9732,1.643523945954712
19.973,1.643523945954712
19.9728,1.643523945954712
19.9726,1.643523945954712
19.9724,1.643523945954712
19.9722,1.643523945954712
19.972,1.647202257678129
19.9718,1.647202257678129
19.9716,1.647202257678129
19.9714,1.647202257678129
19.9712,1.647202257678129
19.971,1.647202257678129
19.9708,1.647202257678129
19.9706,1.647202257678129
19.9704,1.643523945954712
19.9702,1.647202257678129
19.97,1.643523945954712
19.9698,1.643523945954712
19.9696,1.643523945954712
19.9694,1.643523945954712
19.9692,1.643523945954712
19.969,1.643523945954712
19.9688,1.643523945954712
19.9686,1.643523945954712
19.9684,1.643523945954712
19.9682,1.643523945954712
19.968,1.643523945954712
19.9678,1.643523945954712
19.9676,1.643523945954712
19.9674,1.643523945954712
19.9672,1.643523945954712
19.967,1.643523945954712
19.9668,1.643523945954712
19.9666,1.643523945954712
19.9664,1.643523945954712
19.9662,1.643523945954712
19.966,1.643523945954712
19.9658,1.643523945954712
19.9656,1.643523945954712
19.9654,1.643523945954712
19.9652,1.647202257678129
19.965,1.647202257678129
19.9648,1.647202257678129
19.9646,1.647202257678129
19.9644,1.647202257678129
19.9642,1.647202257678129
19.964,1.650880569401546
19.9638,1.647202257678129
19.9636,1.650880569401546
19.9634,1.647202257678129
19.9632,1.647202257678129
19.963,1.647202257678129
19.9628,1.647202257678129
19.9626,1.647202257678129
19.9624,1.647202257678129
19.9622,1.647202257678129
19.962,1.647202257678129
19.9618,1.647202257678129
19.9616,1.647202257678129
19.9614,1.647202257678129
19.9612,1.647202257678129
19.961,1.647202257678129
19.9608,1.647202257678129
19.9606,1.647202257678129
19.9604,1.647202257678129
19.9602,1.647202257678129
19.96,1.647202257678129
19.9598,1.647202257678129
19.9596,1.647202257678129
19.9594,1.647202257678129
19.9592,1.647202257678129
19.959,1.650880569401546
19.9588,1.647202257678129
19.9586,1.647202257678129
19.9584,1.647202257678129
19.9582,1.650880569401546
19.958,1.650880569401546
19.9578,1.647202257678129
19.9576,1.647202257678129
19.9574,1.647202257678129
19.9572,1.647202257678129
19.957,1.647202257678129
19.9568,1.647202257678129
19.9566,1.647202257678129
19.9564,1.647202257678129
19.9562,1.647202257678129
19.956,1.647202257678129
19.9558,1.647202257678129
19.9556,1.647202257678129
19.9554,1.647202257678129
19.9552,1.647202257678129
19.955,1.650880569401546
19.9548,1.650880569401546
19.9546,1.650880569401546
19.9544,1.650880569401546
19.9542,1.650880569401546
19.954,1.650880569401546
19.9538,1.650880569401546
19.9536,1.650880569401546
